PILOT NAME,LAPS,AVG_GAP,AVG_KPH,AVG_POS,AVG_TIME_seconds,AVG_BEST_seconds,REACHED_F1,cluster
A. Albon,643,19.69075,174.85309999999998,6.75,3427.9842,101.11865,1,1
A. Cordeel,633,44.31684210526316,170.11326315789475,14.631578947368421,3643.8034736842105,98.08715789473683,0,0
A. Deledda,162,61.01133333333333,147.30666666666664,19.0,3338.141833333333,105.15966666666667,0,0
A. Fuoco,618,29.561684210526316,171.47947368421055,7.368421052631579,3469.6963684210527,101.38121052631578,0,1
A. Hubert,270,28.590625,156.906625,8.625,3899.06925,97.750125,0,0
A. Iwasa,730,19.87931818181818,170.10086363636364,6.863636363636363,3619.5880909090906,97.97772727272728,0,1
A. Leclerc,288,26.566333333333333,175.02844444444446,9.222222222222221,3521.1625555555556,101.07044444444445,0,1
A. Lorandi,146,41.1546,173.8772,12.4,3440.2985999999996,108.5228,0,2
A. Maini,287,48.525666666666666,173.4201111111111,12.444444444444445,3432.1877777777777,101.60333333333332,0,2
A. Markelov,1002,25.309709677419363,174.38935483870966,8.32258064516129,3448.6766451612903,100.28999999999999,0,1
B. Benavides,246,51.37128571428572,160.5477142857143,16.857142857142858,3761.0701428571433,92.72085714285716,0,0
B. Viscaal,169,40.66166666666666,147.903,13.666666666666666,3412.3070000000002,102.79633333333334,0,0
C. Bölükbasi,176,48.8568,161.42000000000002,15.4,3643.3108,97.47200000000001,0,0
C. Ilott,693,21.930095238095234,182.38438095238095,7.333333333333333,3353.704333333333,98.09714285714286,0,1
C. Leclerc,290,8.01311111111111,176.13400000000001,3.4444444444444446,3334.514222222222,99.59988888888888,1,1
C. Lundgaard,595,30.779000000000003,172.04805263157894,10.631578947368421,3371.7925263157895,99.70184210526315,0,1
C. Novalak,690,32.872681818181825,167.561,12.181818181818182,3527.8598636363636,98.78099999999999,0,1
C. Williams,324,33.2034,171.00619999999998,14.0,3628.5189,99.5618,0,0
D. Beckmann,383,34.11666666666667,168.12608333333333,11.916666666666666,3644.3492499999998,101.59941666666667,0,0
D. Boccolacci,218,39.62571428571429,155.86314285714283,11.142857142857142,3877.1275714285716,108.15528571428571,0,0
D. Hauger,642,26.163894736842103,166.7391052631579,7.947368421052632,3656.9868947368423,96.13805263157894,0,1
D. Ticktum,616,21.32855,173.10920000000002,7.9,3365.9836499999997,100.6678,0,1
E. Fittipaldi,813,16.9774,172.23284,6.88,3564.19528,99.5056,0,1
F. Drugovich,1008,12.744387096774194,169.52054838709677,5.709677419354839,3492.128322580645,97.12516129032258,0,1
F. Vesti,645,13.279263157894736,166.77584210526317,6.0,3669.6520000000005,95.51957894736843,0,1
G. Alesi,629,44.408789473684216,175.37773684210526,13.631578947368421,3519.971631578947,98.334,0,2
G. Malja,356,34.353818181818184,173.03809090909093,10.727272727272727,3375.7380909090907,100.92081818181818,0,2
G. Petecof,41,60.0,133.054,16.0,3701.791,82.033,0,0
G. Russell,307,11.395700000000001,178.4328,3.4,3456.9550000000004,105.1721,1,1
G. Samaia,569,54.224833333333336,167.90477777777778,17.833333333333332,3386.587611111111,98.68388888888889,0,2
G. Zhou,900,20.959714285714288,169.15642857142856,5.964285714285714,3497.7895357142856,99.00639285714286,1,1
I. Hadjar,341,29.676500000000004,167.4049,10.8,3635.9782,94.86240000000001,0,0
J. Aitken,1016,30.896258064516132,173.6704375,8.90625,3483.99846875,102.9680625,1,1
J. Cecotto,110,54.544000000000004,156.91166666666666,13.333333333333334,3687.6126666666664,95.185,0,0
J. Correa,594,36.19927777777778,168.636,12.444444444444445,3642.0172222222222,99.2238888888889,0,0
J. Crawford,309,32.96455555555555,167.03711111111113,10.666666666666666,3641.056666666667,95.82988888888889,0,0
J. Daruvala,1352,26.136190476190478,170.55711904761907,9.714285714285714,3509.298714285714,98.26,0,1
J. Doohan,581,16.50594736842105,169.0955789473684,7.473684210526316,3436.443894736842,101.13568421052632,0,1
J. Hughes,352,26.497636363636364,171.87863636363636,11.090909090909092,3481.0872727272726,99.8269090909091,0,1
J. King,651,28.116650000000003,172.0034,8.5,3479.03255,100.4899,0,1
J. Mason,63,35.1995,166.1325,14.5,3654.145,104.838,0,0
J. Vips,656,23.49209523809524,167.1117619047619,8.047619047619047,3511.0804285714285,99.75838095238095,0,1
K. Maini,298,38.723555555555556,166.04200000000003,11.0,3674.212777777778,98.95855555555555,0,0
L. Delétraz,1246,37.27083783783784,174.30807894736844,10.157894736842104,3463.048552631579,99.81757894736843,0,1
L. Ghiotto,1292,20.123675,177.2854,6.65,3402.677575,100.324675,0,1
L. Lawson,520,22.50394117647059,161.14917647058823,7.411764705882353,3578.238529411765,101.76664705882352,1,1
L. Norris,354,17.112818181818184,170.49099999999999,5.545454545454546,3524.688181818182,101.59281818181817,1,1
L. Sargeant,367,14.928249999999998,161.8205,6.416666666666667,3438.1348333333335,99.78166666666668,1,1
L. Zendeli,147,39.494,180.0292,12.0,3408.2814,107.09279999999998,0,2
M. Armstrong,877,23.216499999999996,171.49710714285715,9.571428571428571,3461.003392857143,99.68153571428572,0,1
M. Günther,261,41.183625,175.0315,11.375,3434.821125,99.788875,0,2
M. Isaakyan,58,58.2965,168.683,16.5,3527.3215,115.3535,0,0
M. Nannini,61,36.089,181.10750000000002,14.0,3443.794,105.232,0,2
M. Raghunathan,286,72.16675000000001,159.34833333333333,14.555555555555555,3831.1692222222223,103.66477777777777,0,0
M. Sato,1002,45.758250000000004,171.3750625,15.21875,3436.8886875,101.397125,0,2
M. Schumacher,647,24.791842105263157,175.21263157894737,7.473684210526316,3512.200684210526,96.48836842105263,1,1
N. Fukuzumi,300,57.93344444444444,168.05155555555555,11.333333333333334,3557.4013333333332,99.79222222222222,0,0
N. Jeffri,300,49.31,173.25355555555555,14.222222222222221,3385.4416666666666,98.50311111111111,0,2
N. Kari,29,70.19,149.18,15.0,3884.053,117.489,0,0
N. Latifi,968,22.552500000000002,171.70093333333335,6.333333333333333,3527.6794999999997,101.08736666666667,1,1
N. Matsushita,983,25.291666666666668,172.15616666666668,8.2,3500.9923333333336,98.55836666666667,0,1
N. Mazepin,668,28.35952631578947,171.43710000000002,8.95,3542.71725,98.2905,1,1
N. Nato,275,27.653888888888886,175.30666666666667,8.555555555555555,3357.326444444445,105.51844444444444,0,1
N. de Vries,961,19.242966666666668,170.59093333333334,5.533333333333333,3537.7651333333333,101.84846666666667,1,1
O. Bearman,329,23.601999999999997,169.9818,8.6,3618.4745000000003,98.8338,1,1
O. Caldwell,382,38.39116666666666,155.82750000000001,14.416666666666666,3286.6242666666662,96.44925,0,2
O. Piastri,195,4.055428571428571,156.9807142857143,1.5714285714285714,3301.470714285714,101.99714285714286,1,1
O. Rowland,277,6.737125,170.926625,3.25,3428.758,94.72025000000001,0,1
P. O'Ward,39,60.0,188.214,19.0,3218.637,79.879,0,2
P. Piquet,401,41.31733333333333,180.90333333333334,13.833333333333334,3366.6008333333334,96.55649999999999,0,2
R. Binder,39,26.942,167.246,15.0,3718.941,91.728,0,0
R. Boschung,1329,34.45361904761905,167.46330952380953,11.428571428571429,3525.399476190476,101.0742380952381,0,1
R. Marciello,39,60.0,192.033,19.0,3154.631,78.327,0,2
R. Merhi,385,30.91275,169.65691666666666,8.666666666666666,3467.2739166666665,102.20741666666667,1,1
R. Nissany,1355,40.922976190476184,170.76535714285714,13.714285714285714,3493.118523809524,99.21383333333333,0,1
R. Shwartzman,596,14.714315789473687,172.60047368421053,5.368421052631579,3339.8963684210526,98.89405263157896,0,1
R. Stanek,266,31.600500000000004,166.117,12.25,3662.65925,98.257875,0,0
R. Tveter,40,70.057,189.278,15.0,3282.663,79.483,0,2
R. Verschoor,918,23.66239285714286,168.33246428571428,7.928571428571429,3615.5102857142856,99.14525,0,1
R. Visoiu,140,39.232600000000005,185.8876,13.8,3055.007,105.599,0,2
S. Canamasas,165,38.672000000000004,173.07840000000002,10.6,3319.3563999999997,97.7314,0,2
S. Coletti,32,72.933,174.298,16.0,3571.91,105.843,0,0
S. Ferrucci,292,52.19022222222222,171.26033333333334,12.11111111111111,3521.5943333333335,104.15477777777778,0,0
S. Gelael,1025,42.655677419354824,171.76451612903224,12.548387096774194,3463.039741935484,99.89912903225806,0,1
S. Sette Câmara,925,21.349482758620688,172.86813793103448,7.137931034482759,3522.8271379310345,101.95458620689655,0,1
S. Sirotkin,24,24.042,163.124,10.0,3177.238,116.129,1,2
T. Calderón,361,63.34849999999999,165.29672727272728,15.0,3770.681818181818,102.68663636363637,0,0
T. Makino,340,33.72354545454545,174.24363636363637,9.545454545454545,3490.0345454545454,105.14818181818181,0,1
T. Pourchaire,948,13.029464285714285,168.80714285714288,5.678571428571429,3606.942857142857,96.92721428571429,0,1
V. Martins,278,13.456125,163.48575,7.0,3697.853,92.556375,0,1
Y. Tsunoda,400,17.671916666666664,182.25891666666666,6.583333333333333,3336.9835000000003,96.32775,1,1
Z. Maloney,400,25.190749999999998,169.63816666666665,9.166666666666666,3614.1699166666663,97.71375,0,1
Á. Palou,70,39.7685,169.14350000000002,10.0,3669.812,102.43100000000001,0,0
