driverId,driver_name,code,forename,surname,nationality,year,constructorId,n_races,total_points,avg_points,avg_grid,avg_finish,best_finish,worst_finish,wins,podiums,podium_rate,win_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_best_lap,avg_kph,avg_gap_to_winner,driver_speed,driver_vs_team_speed,finish_std,points_std,pos_change_std,avg_pos_change,dnf_count,dnf_rate,clean_race_rate,team_total_points,team_avg_points,team_avg_pos_season,team_speed,driver_vs_team_avg_finish,driver_vs_team_avg_points
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2019,131,21,413.0,19.666666666666668,2.3333333333333335,2.380952380952381,1,9,11,17,0.8095238095238095,0.5238095238095238,21,1.0,21,1.0,1262,87.75838095238095,212.48285714285717,6.419761904761905,87.75838095238095,0.052452380952374256,2.2017309208027775,7.241086474648217,2.3974192473614306,-0.047619047619047616,0,0.0,1.0,739.0,17.595238095238095,3.238095238095238,87.70592857142857,-0.8571428571428572,2.071428571428573
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2020,131,16,347.0,21.6875,1.875,1.875,1,7,11,14,0.875,0.6875,16,1.0,16,1.0,950,85.7535625,222.07975,4.71275,85.7535625,1.5680919117647107,1.6683325008322931,6.096105314050931,2.1291625896895083,0.0,0,0.0,1.0,573.0,16.852941176470587,3.735294117647059,84.18547058823529,-1.8602941176470589,4.834558823529413
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2021,131,22,385.5,17.522727272727273,3.090909090909091,3.409090909090909,1,17,8,17,0.7727272727272727,0.36363636363636365,20,0.9090909090909091,20,0.9090909090909091,1269,84.33457142857144,215.31619047619049,13.391571428571426,84.33457142857144,-0.5125261324041617,4.349702681783367,8.121806731802018,4.7145808644324605,-0.3181818181818182,1,0.045454545454545456,0.9545454545454546,604.5,13.738636363636363,5.409090909090909,84.8470975609756,-2.0,3.78409090909091
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2022,131,22,233.0,10.590909090909092,6.5,6.045454545454546,2,20,0,9,0.4090909090909091,0.0,19,0.8636363636363636,19,0.8636363636363636,1246,88.03638095238095,207.56600000000003,27.63047368421053,88.03638095238095,-0.3389761904761883,5.112796948901124,6.680883110352936,5.99783510727212,0.45454545454545453,3,0.13636363636363635,0.8636363636363636,495.0,11.25,5.5227272727272725,88.37535714285714,0.5227272727272734,-0.6590909090909083
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2023,131,22,217.0,9.863636363636363,6.090909090909091,6.181818181818182,2,19,0,6,0.2727272727272727,0.0,20,0.9090909090909091,20,0.9090909090909091,1268,87.29309523809523,212.886,32.079750000000004,87.29309523809523,-0.3079280177187229,4.6047218377946795,5.709603059720273,5.813851202160732,-0.09090909090909091,2,0.09090909090909091,0.9090909090909091,374.0,8.5,7.136363636363637,87.60102325581396,-0.954545454545455,1.3636363636363633
1,Lewis Hamilton,HAM,Lewis,Hamilton,British,2024,131,24,207.0,8.625,8.041666666666666,6.958333333333333,1,20,2,5,0.20833333333333334,0.08333333333333333,21,0.875,21,0.875,1346,87.49036363636364,216.22190909090907,35.325909090909086,87.49036363636364,-0.1856141414141348,4.722556112094811,7.370991910125152,4.835706563783052,1.0833333333333333,2,0.08333333333333333,0.9166666666666666,433.0,9.020833333333334,6.854166666666667,87.67597777777777,0.10416666666666607,-0.3958333333333339
4,Fernando Alonso,ALO,Fernando,Alonso,Spanish,2021,214,22,81.0,3.6818181818181817,10.5,9.909090909090908,3,19,0,1,0.045454545454545456,0.0,15,0.6818181818181818,15,0.6818181818181818,1257,85.64552380952381,211.90385714285713,43.67881818181818,85.64552380952381,-0.865329849012781,4.417595671307133,4.2357476838875145,4.457835166568451,0.5909090909090909,11,0.5,0.5,155.0,3.522727272727273,10.25,86.51085365853659,-0.3409090909090917,0.15909090909090873
4,Fernando Alonso,ALO,Fernando,Alonso,Spanish,2022,214,22,81.0,3.6818181818181817,9.409090909090908,10.863636363636363,5,20,0,0,0.0,0.0,14,0.6363636363636364,14,0.6363636363636364,1118,91.00077272727273,204.53618181818183,39.99041666666667,91.00077272727273,0.1883181818181896,5.46238613956047,3.797071097273386,7.6763537520366345,-1.4545454545454546,10,0.45454545454545453,0.5454545454545454,170.0,3.8636363636363638,9.863636363636363,90.81245454545454,1.0,-0.1818181818181821
4,Fernando Alonso,ALO,Fernando,Alonso,Spanish,2023,117,22,198.0,9.0,6.045454545454546,6.636363636363637,2,18,0,8,0.36363636363636365,0.0,19,0.8636363636363636,19,0.8636363636363636,1294,87.75840909090908,212.3120909090909,37.52565,87.75840909090908,-0.06805602536998379,4.624422275839588,6.531972647421808,4.327751983355473,-0.5909090909090909,2,0.09090909090909091,0.9090909090909091,266.0,6.045454545454546,8.909090909090908,87.82646511627907,-2.2727272727272716,2.954545454545454
4,Fernando Alonso,ALO,Fernando,Alonso,Spanish,2024,117,24,70.0,2.9166666666666665,9.416666666666666,10.166666666666666,5,19,0,0,0.0,0.0,14,0.5833333333333334,14,0.5833333333333334,1380,88.19326086956521,215.0672608695652,59.58675,88.19326086956521,-0.5902724637681303,3.9083708010935423,3.295803216300954,3.0962810792528397,-0.75,8,0.3333333333333333,0.6666666666666667,94.0,1.9583333333333333,11.770833333333334,88.78353333333334,-1.6041666666666679,0.9583333333333333
8,Kimi Räikkönen,RAI,Kimi,Räikkönen,Finnish,2019,51,21,43.0,2.0476190476190474,10.523809523809524,11.619047619047619,4,19,0,0,0.0,0.0,9,0.42857142857142855,9,0.42857142857142855,1224,89.70790476190476,207.83914285714286,45.89816666666667,89.70790476190476,-0.08190476190476659,4.128876245132451,3.201190254830076,5.787095661078723,-1.0952380952380953,15,0.7142857142857143,0.2857142857142857,57.0,1.3571428571428572,12.738095238095237,89.78980952380952,-1.1190476190476186,0.6904761904761902
