driver,total_laps,avg_kph,avg_position,best_position,avg_best_lap,avg_pos_feature_race,avg_pos_free_practice,avg_pos_qualifying,avg_pos_sprint_race1,avg_pos_sprint_race2,avg_final_position,reached_f1
A. Albon,1723.0,184.9548536585366,6.469879518072289,1.0,101.42855,6.75,6.454545454545454,5.761904761904762,6.95,,6.475,1
A. Cordeel,1700.0,178.04596470588234,15.458823529411765,2.0,98.76478378378378,14.631578947368421,15.958333333333334,15.73913043478261,15.31578947368421,,15.628787878787879,0
A. Deledda,541.0,173.17171428571427,19.5,12.0,104.02057142857143,19.0,21.375,21.666666666666668,17.0,15.333333333333334,18.904761904761905,0
A. Fuoco,1733.0,183.5534761904762,8.541176470588235,1.0,100.85110256410258,7.368421052631579,9.043478260869565,8.782608695652174,8.8,,8.28048780487805,0
A. Hubert,738.0,176.55770588235296,9.852941176470589,1.0,97.9596875,8.625,12.444444444444445,9.777777777777779,8.25,,9.709677419354838,0
A. Iwasa,1958.0,179.2706947368421,7.21875,1.0,98.57815217391305,7.304347826086956,6.24,6.916666666666667,8.458333333333334,,7.116279069767442,0
A. Leclerc,790.0,178.47419047619047,11.285714285714286,3.0,101.39094736842105,9.222222222222221,12.363636363636363,12.090909090909092,11.090909090909092,,11.935897435897436,0
A. Lorandi,343.0,188.96622222222223,15.0,7.0,110.130875,12.4,17.2,16.2,13.666666666666666,,15.0,0
A. Maini,1052.0,184.19066037735848,12.423076923076923,1.0,100.595,12.444444444444445,13.466666666666667,12.071428571428571,11.642857142857142,,12.431372549019608,0
A. Markelov,2891.0,183.29145390070923,10.307692307692308,1.0,98.93732835820896,8.59375,11.552631578947368,11.763157894736842,8.942857142857143,,10.217391304347826,0
B. Benavides,664.0,175.5747741935484,18.032258064516128,10.0,94.914,16.857142857142858,20.333333333333332,19.375,14.714285714285714,,18.06382978723404,0
B. Viscaal,712.0,175.99841666666669,11.86111111111111,2.0,102.60425000000001,13.857142857142858,10.875,15.0,11.714285714285714,6.833333333333333,12.071428571428571,0
C. Bölükbasi,602.0,175.69693103448276,17.75862068965517,11.0,101.68216666666666,15.4,20.22222222222222,18.0,16.0,,17.678571428571427,0
C. Ilott,1929.0,187.96770329670332,7.706521739130435,1.0,97.52453488372093,7.333333333333333,10.16,5.208333333333333,8.0,,7.51685393258427,0
C. Leclerc,792.0,187.03415789473684,3.051282051282051,1.0,101.15805555555556,3.4444444444444446,2.6363636363636362,2.1,4.222222222222222,,3.1621621621621623,1
C. Lundgaard,1764.0,186.12327058823527,9.220930232558139,1.0,100.17456818181817,10.631578947368421,9.380952380952381,8.333333333333334,7.85,12.4,9.153846153846153,0
C. Novalak,1909.0,178.97187878787878,14.43,1.0,101.22284444444445,12.181818181818182,14.814814814814815,16.185185185185187,14.08695652173913,14.0,14.685950413223141,0
C. Williams,1035.0,179.1727843137255,15.058823529411764,4.0,99.79263999999999,14.5,16.615384615384617,15.076923076923077,14.0,,14.98,0
D. Beckmann,1117.0,181.70485454545454,11.672727272727272,2.0,103.03786206896551,12.23076923076923,12.307692307692308,13.23076923076923,10.75,5.5,11.693877551020408,0
D. Boccolacci,709.0,179.05402777777778,13.194444444444445,4.0,107.11023529411764,11.142857142857142,14.9,14.444444444444445,11.8,,13.371428571428572,0
D. Hauger,1828.0,178.88776595744682,8.851063829787234,1.0,98.33025581395349,9.0,8.96,9.72,7.6521739130434785,,8.445945945945946,0
D. Ticktum,1745.0,185.06585542168676,7.404761904761905,1.0,100.27990697674419,7.9,7.45,8.333333333333334,6.529411764705882,4.833333333333333,7.592105263157895,0
E. Fittipaldi,2094.0,182.25107692307694,10.228571428571428,1.0,100.59972916666668,6.88,12.714285714285714,11.428571428571429,9.227272727272727,11.5,9.532051282051283,0
F. Drugovich,2813.0,182.63194074074076,6.977777777777778,1.0,98.94426865671642,5.709677419354839,7.852941176470588,6.294117647058823,7.137931034482759,11.0,6.880952380952381,0
F. Vesti,1871.0,179.0848191489362,7.873684210526315,1.0,98.48486363636363,6.6,9.04,7.76,7.84,,7.0234375,0
G. Alesi,1629.0,184.81937037037036,14.390243902439025,1.0,98.94011428571429,13.631578947368421,14.708333333333334,15.782608695652174,12.8125,,14.41025641025641,0
G. Malja,901.0,183.26673809523808,12.44186046511628,3.0,100.71604761904761,10.727272727272727,12.636363636363637,14.090909090909092,12.3,,12.414634146341463,0
G. Petecof,133.0,158.5027142857143,16.142857142857142,10.0,100.842,16.0,18.5,15.0,17.0,13.0,16.5,0
G. Russell,880.0,186.2819111111111,4.2,1.0,104.59490476190476,3.4,4.75,2.6666666666666665,6.0,,3.840909090909091,1
G. Samaia,1624.0,182.35329870129868,18.038961038961038,6.0,99.29889743589744,17.833333333333332,18.85,20.055555555555557,16.4375,13.4,18.071428571428573,0
G. Zhou,2569.0,182.988592,7.071428571428571,1.0,99.13741935483871,5.964285714285714,9.65625,6.03125,6.285714285714286,7.666666666666667,6.7043478260869565,1
I. Hadjar,818.0,177.88859523809523,10.333333333333334,1.0,99.06894736842105,10.8,9.090909090909092,12.454545454545455,8.9,,9.28125,0
J. Aitken,2982.0,182.5813605442177,9.748299319727892,1.0,101.43950704225352,9.628571428571428,9.868421052631579,9.026315789473685,10.272727272727273,13.0,9.784172661870503,1
J. Cecotto,312.0,170.93106666666665,11.266666666666667,2.0,98.12171428571428,13.333333333333334,13.0,10.5,8.75,,11.357142857142858,0
J. Correa,1612.0,175.53106329113925,13.721518987341772,2.0,99.66132432432433,12.631578947368421,16.428571428571427,13.75,11.789473684210526,,13.8125,0
J. Crawford,795.0,179.268975,11.1,1.0,99.5321111111111,10.666666666666666,14.545454545454545,10.363636363636363,8.222222222222221,,11.10752688172043,0
J. Daruvala,3640.0,182.2263595505618,9.039106145251397,1.0,98.95767045454545,9.714285714285714,9.533333333333333,8.844444444444445,8.175,8.0,9.421319796954315,0
J. Doohan,1879.0,180.2831212121212,7.08080808080808,1.0,101.00833333333334,7.473684210526316,7.814814814814815,6.076923076923077,7.08,6.5,7.059259259259259,0
J. Hughes,893.0,182.01375,12.795454545454545,1.0,99.6039,11.090909090909092,14.583333333333334,12.083333333333334,13.5,13.0,12.731707317073171,0
J. King,1640.0,183.54373417721519,9.8375,2.0,99.51244444444444,8.5,11.318181818181818,10.590909090909092,8.4375,,9.644736842105264,0
J. Mason,125.0,162.60757142857142,18.714285714285715,14.0,111.91966666666667,14.5,21.5,22.0,18.5,,18.541666666666668,0
J. Vips,1990.0,182.0281188118812,7.57,1.0,101.35641176470588,8.047619047619047,7.961538461538462,6.739130434782608,7.76,6.4,7.7032967032967035,0
K. Maini,801.0,178.060875,9.9,2.0,100.51515789473684,11.0,10.0,8.3,10.4,,9.615384615384615,0
L. Delétraz,3608.0,184.8603063583815,9.862068965517242,1.0,100.00698750000001,10.157894736842104,10.808510638297872,9.76595744680851,8.642857142857142,,9.916666666666666,0
L. Ghiotto,3595.0,186.95214857142858,6.864406779661017,1.0,100.01854878048782,6.65,6.458333333333333,7.446808510638298,6.880952380952381,,6.776470588235294,0
