driver_name,starts,avg_position,std_position,avg_best_lap,avg_gap_to_winner,dnf_rate,cluster
A  Deledda,6,26.5,2.949576240750525,95.42999999999999,1780.6076666666668,0.0,2
A  Leclerc,6,12.2,5.495452665613635,101.65483333333333,1678.4695,0.16666666666666666,1
A  Peroni,6,19.0,5.228129047119373,94.41583333333334,1459.0371666666667,0.3333333333333333,1
A  Smolyar,9,14.0,7.106335201775948,98.63744444444444,1878.6975555555555,0.0,2
B  Viscaal,6,19.2,5.263078946776307,94.51466666666666,1543.1378333333332,0.16666666666666666,1
C  Collet,8,13.142857142857142,6.25642526870234,100.732,1627.9445,0.125,0
C  Mansell,5,13.4,6.6558245169174945,101.9922,1405.0832,0.0,0
C  Novalak,6,12.8,9.731392500562292,97.32366666666667,1345.2626666666667,0.16666666666666666,0
C  Voisin,5,19.6,9.964938534682489,102.53899999999999,1282.4024000000002,0.0,0
C  Williams,6,19.0,5.549774770204643,97.32933333333334,1537.6021666666666,0.0,2
C  Wurz,6,14.166666666666666,7.082843120291926,103.7595,1152.9983333333332,0.0,0
D  Beckmann,6,8.6,3.7815340802378077,94.51366666666667,1401.7731666666668,0.16666666666666666,1
D  Beganovic,5,9.4,7.402702209328699,101.2904,1395.7314000000001,0.0,0
D  Hauger,6,9.666666666666666,8.687155268939692,96.94966666666666,1523.1375,0.0,0
D  Schumacher,7,18.571428571428573,5.968169536721256,97.35485714285713,1694.1144285714286,0.0,2
E  Fittipaldi,6,15.5,3.146426544510455,97.25866666666667,1535.5525,0.0,2
F  Colapinto,5,15.25,9.535023160258536,103.91375000000001,1949.7282,0.2,0
F  Malvestiti,5,25.5,1.7320508075688776,94.2904,2081.4298,0.2,2
F  Vesti,6,7.8,3.271085446759225,97.40516666666667,1326.1503333333333,0.16666666666666666,1
G  Minì,5,7.6,2.8809720581775866,101.47940000000001,1391.8542000000002,0.0,0
G  Saucy,5,9.0,4.320493798938574,101.87899999999999,2418.9926,0.2,2
H  Yeany,5,25.0,3.1622776601683795,102.7444,2473.296,0.0,2
I  Cohen,8,20.285714285714285,4.029651999626672,102.69924999999999,1811.388375,0.125,2
J  Correa,5,12.4,3.847076812334269,103.6018,1711.7259999999999,0.0,2
J  Crawford,6,14.5,8.240145629781066,101.72416666666668,1876.118333333333,0.0,0
J  Doohan,6,19.0,12.617448236470002,97.193,1555.6229999999998,0.0,0
J  Dufek,6,21.0,5.440588203494177,104.31333333333333,1169.5113333333331,0.0,0
J  Edgar,6,17.333333333333332,5.316640543300503,104.6855,1786.8263333333332,0.0,2
J  Hughes,6,14.0,7.788880963698615,93.916,1715.2078000000001,0.3333333333333333,1
J  Martí,5,16.8,6.260990336999411,102.7666,2451.1718,0.0,2
K  Frederick,7,16.166666666666668,7.139094246938239,109.11299999999999,1797.807,0.14285714285714285,0
L  Browning,5,6.8,5.06951674225463,101.66040000000001,1390.3728,0.0,0
L  Fornaroli,5,10.0,9.055385138137417,101.5658,1396.4546,0.0,0
L  Lawson,6,10.0,7.0710678118654755,94.46216666666668,1366.1256666666668,0.3333333333333333,1
L  Sargeant,9,15.125,8.854982455415385,97.33644444444445,1385.4730000000002,0.1111111111111111,0
L  Tóth,5,26.4,2.0736441353327724,97.8798,1789.346,0.0,2
L  Van Hoepen,6,13.666666666666666,1.211060141638997,103.95,1152.9980000000003,0.0,1
L  Zendeli,7,15.571428571428571,5.563486402641868,95.12042857142856,1848.5671428571427,0.0,2
M  Boya,8,13.666666666666666,8.86942313043338,104.88057142857143,870.000125,0.25,0
M  Fewtrell,6,13.666666666666666,5.609515724790035,94.657,1749.683,0.0,2
M  Nannini,6,18.333333333333332,10.948363652467279,102.04733333333333,1547.735,0.0,0
M  Stenshorne,6,16.333333333333332,6.121002096606949,103.856,1161.9401666666665,0.0,0
M  Zagazeta,6,22.0,4.979959839195494,104.36166666666666,1171.0745,0.0,0
N  Bedrin,6,16.2,8.814760348415605,103.74033333333334,1260.0893333333336,0.16666666666666666,0
N  León,6,18.0,5.1478150704935,104.11233333333332,1149.1355,0.16666666666666666,1
N  Tsolov,7,17.571428571428573,8.162049229148744,102.79914285714287,1553.8815714285715,0.0,0
O  Caldwell,6,12.6,8.905054744357274,98.19200000000001,1138.5266666666666,0.16666666666666666,0
O  Goethe,5,11.4,10.502380682492898,101.536,1407.3103999999998,0.0,0
O  Rasmussen,5,21.5,3.5118845842842465,108.0528,1301.6907999999999,0.2,1
P  Wisnicki,5,25.25,2.217355782608345,103.7186,1067.0788,0.2,1
R  Stanek,9,17.444444444444443,8.804985961248192,98.74833333333333,1884.188111111111,0.0,2
R  Verschoor,6,11.666666666666666,6.2182527020592095,94.291,1747.0551666666668,0.0,2
R  Villagómez,8,21.285714285714285,5.023753102820166,103.38814285714285,1672.084125,0.125,2
S  Fernández,6,13.75,0.9574271077563381,94.80116666666667,1592.2125000000003,0.3333333333333333,1
S  Floersch,8,19.4,5.029910535983716,98.99942857142857,1103.092375,0.375,1
S  Montoya,5,11.75,4.645786621588784,103.82775000000001,1120.81475,0.2,1
S  Ramos,6,12.5,7.968688725254614,103.51783333333333,1153.6673333333333,0.0,0
T  Inthraphuvasak,6,18.8,7.52994023880668,105.35,918.1784,0.16666666666666666,0
T  Smith,5,23.333333333333332,4.509249752822894,103.98949999999999,1105.307,0.4,1
T  Tramnitz,6,8.333333333333334,4.676180777800049,103.65899999999999,1144.3916666666667,0.0,0
V  Martins,6,10.333333333333334,8.936815241833449,101.43866666666668,1860.3991666666668,0.0,0
Z  O'Sullivan,5,14.5,3.785938897200183,102.6106,2415.6626,0.2,2
