driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,,22.0,1.0,989.115,94.711,22.0,1.0,1439.9060000000002,0.0,110.41004545454547,1,0,0,0,1.0,5.454545454545454,112.26566403528318,112.40364692425416,0.625,112.23031381118881,-1.855618580737712,-1.8202683566433393,1
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121,22.0,2.0,989.115,94.711,22.0,1.0,1442.0269999999998,0.09000000000000341,110.50645454545453,1,0,0,0,2.0,10.772727272727273,112.84071430093778,113.05701397058823,0.5,112.23031381118881,-2.334259755483245,-1.7238592657342764,1
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742,22.0,3.0,989.115,94.711,22.0,1.0,1443.648,0.6310000000000002,110.58013636363636,1,0,0,0,3.0,12.578947368421053,113.57823657516536,111.72983011363637,0.375,112.23031381118881,-2.9981002115290067,-1.6501774475524513,1
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266,22.0,4.0,989.115,94.711,22.0,1.0,1444.1719999999998,0.028000000000005798,110.60395454545454,1,0,0,0,4.0,5.454545454545454,112.26566403528318,112.24481520721925,0.875,112.23031381118881,-1.6617094898286382,-1.6263592657342656,1
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257,22.0,5.0,989.115,94.711,22.0,1.0,1445.1629999999998,0.6080000000000041,110.64899999999999,1,0,0,0,5.0,5.454545454545454,112.26566403528318,112.14852997437612,0.75,112.23031381118881,-1.6166640352831934,-1.5813138111888208,1
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721,22.0,6.0,989.115,94.711,22.0,1.0,1445.6270000000002,0.45300000000000296,110.67009090909092,1,0,0,0,6.0,11.904761904761905,113.25568456134658,112.57256515151515,0.75,112.23031381118881,-2.5855936522556675,-1.560222902097891,1
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453,22.0,7.0,989.115,94.711,22.0,1.0,1449.3590000000002,0.5640000000000072,110.83972727272727,1,0,0,0,7.0,11.904761904761905,113.25568456134658,113.54231936956602,0.42857142857142855,112.23031381118881,-2.4159572886193104,-1.390586538461534,1
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914,22.0,8.0,989.115,94.711,22.0,1.0,1453.82,0.855000000000004,111.0425,1,0,0,0,8.0,11.904761904761905,113.25568456134658,113.68799851398602,0.25,112.23031381118881,-2.21318456134658,-1.1878138111888035,1
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897,22.0,9.0,989.115,94.711,22.0,1.0,1455.803,1.6280000000000001,111.13263636363637,1,0,0,0,9.0,15.15,112.72754608216275,112.58339371012758,0.75,112.23031381118881,-1.594909718526381,-1.0976774475524422,1
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591,22.0,10.0,989.115,94.711,22.0,1.0,1456.497,1.4959999999999951,111.16418181818182,1,0,0,0,10.0,13.9,114.91332223624627,113.08816531544436,0.5,112.23031381118881,-3.7491404180644565,-1.0661319930069908,1
